nohup: ignoring input
 * Serving Flask app 'app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://187.77.60.16:5000
Press CTRL+C to quit
127.0.0.1 - - [05/Mar/2026 15:30:16] "HEAD /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:30:36] "GET / HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:30:38] "GET / HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:30:40] "GET / HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:36:45] "GET / HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:36:46] "GET / HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:36:47] "GET / HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:36:47] "GET / HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:36:48] "GET / HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:36:48] "GET / HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:37:00] "GET / HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:37:50] "GET / HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:38:52] "GET /logout HTTP/1.1" 302 -
187.20.21.197 - - [05/Mar/2026 15:38:52] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:39:43] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:39:43] "GET /favicon.ico HTTP/1.1" 404 -
187.20.21.197 - - [05/Mar/2026 15:40:48] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:49] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:49] "GET /favicon.ico HTTP/1.1" 404 -
187.20.21.197 - - [05/Mar/2026 15:40:49] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:49] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:49] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:49] "GET /favicon.ico HTTP/1.1" 404 -
187.20.21.197 - - [05/Mar/2026 15:40:50] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:50] "GET /favicon.ico HTTP/1.1" 404 -
187.20.21.197 - - [05/Mar/2026 15:40:50] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:50] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:50] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:51] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:51] "GET /favicon.ico HTTP/1.1" 404 -
187.20.21.197 - - [05/Mar/2026 15:40:51] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:51] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:51] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:52] "GET /favicon.ico HTTP/1.1" 404 -
187.20.21.197 - - [05/Mar/2026 15:40:52] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:52] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:52] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:53] "GET /favicon.ico HTTP/1.1" 404 -
187.20.21.197 - - [05/Mar/2026 15:40:53] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:53] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:53] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:53] "GET /favicon.ico HTTP/1.1" 404 -
187.20.21.197 - - [05/Mar/2026 15:40:53] "GET /favicon.ico HTTP/1.1" 404 -
187.20.21.197 - - [05/Mar/2026 15:40:54] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:54] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:54] "GET /login HTTP/1.1" 200 -
187.20.21.197 - - [05/Mar/2026 15:40:54] "GET /favicon.ico HTTP/1.1" 404 -
187.20.21.197 - - [05/Mar/2026 15:40:54] "GET /favicon.ico HTTP/1.1" 404 -
187.20.21.197 - - [05/Mar/2026 15:41:07] code 400, message Bad request version ('ªª\x13\x01\x13\x02\x13\x03À+À/À,À0Ì©Ì¨À\x13À\x14\x00\x9c\x00\x9d\x00/\x005\x01\x00\x06SÊÊ\x00\x00\x00')
187.20.21.197 - - [05/Mar/2026 15:41:07] "\x16\x03\x01\x06À\x01\x00\x06¼\x03\x03~@%\x8dÿ ~\x19ãâLÄïj©ù\x89ßæ\x85M¨2úìÚ:\x11\x02&/¿ \x02\x86\x95\x145ã[xô`kÏiRj5@\x8bÕÌÜo,~2d\x08Å  \x8b\x82\x00 ªª\x13\x01\x13\x02\x13\x03À+À/À,À0Ì©Ì¨À\x13À\x14\x00\x9c\x00\x9d\x00/\x005\x01\x00\x06SÊÊ\x00\x00\x00" 400 -
187.20.21.197 - - [05/Mar/2026 15:41:07] code 400, message Bad request version ('\x00\x12\x00\x10\x04\x03\x08\x04\x04\x01\x05\x03\x08\x05\x05\x01\x08\x06\x06\x01\x00\x1b\x00\x03\x02\x00\x02ÿ\x01\x00\x01\x00\x00')
187.20.21.197 - - [05/Mar/2026 15:41:07] "\x16\x03\x01\x06 \x01\x00\x06\x9c\x03\x03X¹÷ùNÙ\x15\x94M\x1bì\x89\x8a\x11\x84!t\x86\x9b\x92L7Þ\x16r(\x0d©\x02A¨  ÉY\x8få\x0f&5ì3WaO7výS{çË;¬ße\x9b\x1bpRÏlèpâ\x00 ÚÚ\x13\x01\x13\x02\x13\x03À+À/À,À0Ì©Ì¨À\x13À\x14\x00\x9c\x00\x9d\x00/\x005\x01\x00\x063JJ\x00\x00\x00\x0d\x00\x12\x00\x10\x04\x03\x08\x04\x04\x01\x05\x03\x08\x05\x05\x01\x08\x06\x06\x01\x00\x1b\x00\x03\x02\x00\x02ÿ\x01\x00\x01\x00\x00" 400 -
187.20.21.197 - - [05/Mar/2026 15:41:10] "GET /login HTTP/1.1" 200 -
